number0,number1,number2,number3,number4,number5,number6,number7,number8,number9
3,83,67,11,32,10,23,1,49,49
80,3,75,15,51,59,34,82,1,94
39,21,90,15,74,97,87,36,59,20
79,48,18,97,63,24,50,13,11,47
38,62,39,29,59,54,54,93,86,88
3,98,39,58,23,95,39,27,81,86
19,31,55,45,10,39,1,40,90,87
79,21,97,59,92,73,66,6,17,99
84,32,77,35,10,46,3,48,2,90
35,78,92,33,42,53,76,55,5,77
92,95,6,23,26,52,47,17,53,93
20,1,67,12,39,6,56,58,9,29
54,81,59,41,35,6,0,92,38,22
36,27,68,85,82,57,94,73,37,1
11,63,43,36,86,90,76,12,14,93
7,98,0,61,13,92,77,51,73,84
76,51,71,36,98,64,65,53,92,71
12,55,83,2,15,28,3,31,80,86
12,40,97,95,97,13,99,66,46,22
24,53,6,6,81,53,92,27,32,69
25,52,80,57,81,77,69,45,39,75
6,22,71,92,67,25,12,95,3,93
31,29,41,7,75,63,23,59,24,15
77,54,23,58,48,56,62,4,97,15
19,79,70,3,34,28,19,95,22,77
14,40,58,21,17,62,31,61,9,58
18,43,32,74,41,97,7,44,69,69
25,60,19,15,91,90,76,64,51,61
10,38,68,94,83,73,32,87,65,33
30,24,64,31,53,90,9,83,15,62
25,7,62,74,22,64,14,25,32,18
46,45,17,98,26,92,1,55,93,49
52,34,26,99,49,12,51,52,16,30
17,37,84,13,1,89,0,78,64,10
30,8,71,86,27,89,75,89,50,86
85,60,70,94,59,25,21,31,71,20
91,55,37,42,66,52,12,55,3,54
79,97,63,88,3,8,87,56,80,0
33,33,55,32,59,39,30,95,60,4
5,72,65,37,20,9,90,94,68,52
56,3,19,80,59,53,69,16,7,16
21,94,61,86,55,55,0,68,57,15
96,0,68,54,22,67,87,84,91,58
62,69,46,62,59,74,49,44,18,94
20,73,51,35,32,66,19,3,69,25
70,35,26,55,62,88,95,29,32,51
96,73,15,27,10,64,41,19,43,99
71,89,87,56,5,18,84,49,78,50
99,74,72,30,20,60,87,46,97,5
24,23,45,24,97,14,81,18,28,60
58,33,90,73,62,56,75,83,44,75
29,20,72,11,3,83,0,64,64,22
0,74,36,58,90,77,65,80,55,27
42,19,32,67,16,20,61,21,86,28
49,22,63,81,40,40,58,10,15,82
18,75,35,82,64,48,25,35,6,87
23,50,19,50,53,61,60,54,7,29
37,19,74,86,34,33,55,21,68,76
33,33,85,49,5,51,78,85,39,0
47,2,10,44,13,32,22,79,78,32
29,3,11,47,50,22,59,28,90,71
19,11,4,91,90,14,39,28,69,76
27,23,80,58,31,48,81,99,8,85
