number0,number1,number2,number3,number4,number5,number6,number7,number8,number9
1,3,10,11,23,32,49,49,67,83
1,3,15,34,51,59,75,80,82,94
15,20,21,36,39,59,74,87,90,97
11,13,18,24,47,48,50,63,79,97
29,38,39,54,54,59,62,86,88,93
3,23,27,39,39,58,81,86,95,98
1,10,19,31,39,40,45,55,87,90
6,17,21,59,66,73,79,92,97,99
2,3,10,32,35,46,48,77,84,90
5,33,35,42,53,55,76,77,78,92
6,17,23,26,47,52,53,92,93,95
1,6,9,12,20,29,39,56,58,67
0,6,22,35,38,41,54,59,81,92
1,27,36,37,57,68,73,82,85,94
11,12,14,36,43,63,76,86,90,93
0,7,13,51,61,73,77,84,92,98
36,51,53,64,65,71,71,76,92,98
2,3,12,15,28,31,55,80,83,86
12,13,22,40,46,66,95,97,97,99
6,6,24,27,32,53,53,69,81,92
25,39,45,52,57,69,75,77,80,81
3,6,12,22,25,67,71,92,93,95
7,15,23,24,29,31,41,59,63,75
4,15,23,48,54,56,58,62,77,97
3,19,19,22,28,34,70,77,79,95
9,14,17,21,31,40,58,58,61,62
7,18,32,41,43,44,69,69,74,97
15,19,25,51,60,61,64,76,90,91
10,32,33,38,65,68,73,83,87,94
9,15,24,30,31,53,62,64,83,90
7,14,18,22,25,25,32,62,64,74
1,17,26,45,46,49,55,92,93,98
12,16,26,30,34,49,51,52,52,99
0,1,10,13,17,37,64,78,84,89
8,27,30,50,71,75,86,86,89,89
20,21,25,31,59,60,70,71,85,94
3,12,37,42,52,54,55,55,66,91
0,3,8,56,63,79,80,87,88,97
4,30,32,33,33,39,55,59,60,95
5,9,20,37,52,65,68,72,90,94
3,7,16,16,19,53,56,59,69,80
0,15,21,55,55,57,61,68,86,94
0,22,54,58,67,68,84,87,91,96
18,44,46,49,59,62,62,69,74,94
3,19,20,25,32,35,51,66,69,73
26,29,32,35,51,55,62,70,88,95
10,15,19,27,41,43,64,73,96,99
5,18,49,50,56,71,78,84,87,89
5,20,30,46,60,72,74,87,97,99
14,18,23,24,24,28,45,60,81,97
33,44,56,58,62,73,75,75,83,90
0,3,11,20,22,29,64,64,72,83
0,27,36,55,58,65,74,77,80,90
16,19,20,21,28,32,42,61,67,86
10,15,22,40,40,49,58,63,81,82
6,18,25,35,35,48,64,75,82,87
7,19,23,29,50,50,53,54,60,61
19,21,33,34,37,55,68,74,76,86
0,5,33,33,39,49,51,78,85,85
2,10,13,22,32,32,44,47,78,79
3,11,22,28,29,47,50,59,71,90
4,11,14,19,28,39,69,76,90,91
8,23,27,31,48,58,80,81,85,99
7,12,31,35,35,45,53,55,82,94
3,27,30,31,40,49,53,59,60,81
1,12,16,17,28,58,62,73,78,94
15,20,25,27,36,38,64,71,87,97
3,12,20,23,29,32,33,48,67,85
10,20,26,39,45,49,55,56,62,90
3,8,18,27,42,43,71,83,91,97
2,10,19,30,32,52,60,61,73,75
6,16,19,21,35,42,72,87,89,92
3,13,28,40,49,70,78,83,86,87
7,9,21,48,54,55,62,64,64,88
20,23,32,35,38,39,54,71,79,90
6,8,9,34,36,64,86,93,96,96
0,19,21,27,31,58,75,83,83,83
2,12,33,44,45,47,48,53,53,87
16,32,33,40,50,65,68,76,89,91
9,10,20,25,30,57,62,65,73,97
12,18,37,52,54,66,71,79,92,95
7,20,30,34,37,68,71,80,89,94
0,3,13,32,53,57,71,76,79,88
2,3,32,41,49,51,71,72,76,89
15,30,39,60,66,70,75,86,94,96
6,6,14,34,39,42,56,72,87,88
1,22,31,37,44,63,64,70,93,94
2,5,8,17,20,22,34,38,65,78
