number0,number1,number2,number3
22,45,56,88
8,53,75,76
9,10,45,57
2,28,40,99
18,52,62,64
4,8,40,45
4,34,45,89
7,57,58,69
19,43,78,99
3,32,41,91
5,17,77,93
6,45,81,86
12,46,62,84
28,57,77,97
10,81,94,96
8,82,86,91
30,59,80,96
19,23,73,91
35,48,65,82
50,57,70,86
23,24,49,68
15,16,45,54
12,64,77,91
63,77,92,95
15,84,96,99
19,51,56,58
34,65,96,97
21,31,46,77
3,15,18,82
66,68,89,96
7,26,59,74
25,40,65,77
12,13,39,54
37,61,80,85
32,84,96,99
22,71,90,90
10,38,47,72
30,31,81,99
16,38,51,63
15,22,23,73
5,61,79,95
31,45,48,73
1,5,11,37
25,39,50,85
1,18,59,99
27,54,62,91
31,40,89,95
11,38,47,47
27,57,64,65
11,53,72,83
34,55,85,97
1,15,37,59
0,7,51,72
21,27,50,52
47,60,72,74
26,60,85,96
10,40,48,86
11,11,27,31
62,80,94,96
61,74,79,95
1,31,52,61
36,47,50,88
14,81,87,97
23,25,25,69
26,39,61,77
13,16,38,97
49,53,61,75
1,6,27,45
2,47,55,56
35,40,61,66
19,59,91,94
22,38,49,77
47,75,77,96
9,31,76,94
12,17,53,82
24,25,68,90
23,52,92,93
18,23,29,50
29,33,67,84
33,46,72,84
5,5,28,73
9,30,86,89
45,59,75,90
8,9,21,73
11,32,39,84
5,24,54,82
15,24,30,48
4,4,41,55
24,32,34,58
14,23,32,74
15,51,90,98
40,48,59,82
47,62,63,82
31,59,75,84
36,41,47,75
29,68,78,97
1,43,52,74
3,5,19,41
20,68,75,79
20,24,56,76
11,11,12,93
1,4,21,32
36,64,85,86
18,23,51,63
15,19,51,85
37,52,94,96
3,25,65,96
24,34,69,74
50,53,63,87
47,67,74,96
27,27,53,63
10,18,19,85
2,29,43,55
10,44,72,95
52,68,70,72
22,30,94,97
19,20,29,46
12,35,83,93
6,14,19,41
1,20,60,95
2,8,75,96
14,36,47,69
0,10,50,72
17,57,63,99
25,44,55,78
7,36,37,43
44,45,85,85
11,33,74,85
12,35,83,94
10,15,45,64
50,60,82,83
15,34,73,83
29,67,77,91
1,3,9,56
14,56,59,68
10,42,60,94
13,37,41,59
21,71,91,94
18,37,39,87
26,54,57,76
5,27,60,78
7,49,50,95
0,49,76,86
28,39,44,61
34,52,54,68
29,55,71,82
42,44,95,98
20,76,77,93
32,48,81,92
3,13,23,95
33,49,64,67
24,30,76,89
32,66,80,85
6,31,44,49
4,14,51,71
14,15,83,95
27,73,77,91
14,25,37,98
0,82,88,90
21,39,42,56
11,11,77,84
35,55,96,98
9,40,63,99
19,36,49,91
64,64,73,93
2,37,65,92
3,20,32,69
22,58,85,90
30,32,60,72
39,43,58,68
26,30,46,50
34,43,50,82
11,19,22,96
10,56,72,74
35,70,89,99
1,11,77,95
3,9,15,79
3,69,77,81
32,59,76,93
17,49,70,81
28,63,76,83
20,41,66,90
35,42,57,60
26,57,63,63
46,66,78,85
12,23,33,87
48,52,66,83
6,28,48,66
3,38,45,47
13,35,39,74
3,22,34,56
2,4,32,53
14,57,81,88
8,43,61,72
21,44,45,97
21,51,73,92
33,38,48,95
38,40,83,85
8,46,59,86
20,56,77,95
4,12,49,68
5,56,79,90
35,37,43,82
4,32,35,88
48,52,62,95
54,61,83,89
64,81,92,93
34,39,53,85
1,40,42,76
29,75,80,93
7,42,58,92
26,65,89,93
47,72,82,83
11,59,70,97
0,58,69,82
6,11,32,78
3,22,22,85
7,32,87,97
2,13,77,90
12,33,36,39
18,38,87,96
28,49,85,88
52,62,74,78
23,81,83,91
33,52,56,84
5,26,73,81
23,60,64,89
28,83,85,94
25,28,53,77
30,73,77,86
38,60,67,73
42,47,71,89
54,62,74,86
18,41,51,82
40,42,74,96
3,50,89,98
42,45,47,52
38,51,76,98
1,6,75,94
32,69,86,99
5,15,21,69
4,4,39,72
10,44,44,50
13,41,63,98
5,46,61,79
11,48,49,75
31,41,45,69
16,51,59,71
14,71,80,98
29,34,83,91
50,68,78,89
31,37,45,70
14,71,81,82
11,21,64,79
23,64,74,88
16,35,78,81
4,7,42,48
8,55,56,74
3,14,65,81
0,26,39,42
34,65,77,90
44,51,55,57
33,39,50,88
18,26,35,62
9,19,40,78
22,45,66,88
15,21,47,73
2,21,30,83
2,42,64,91
4,6,17,27
4,23,82,82
6,39,45,85
13,38,64,92
58,60,66,85
18,25,26,63
8,22,78,87
2,8,16,61
22,23,64,90
