number0,number1,number2,number3,number4
5,2,82,7,95
26,18,21,88,19
72,84,39,77,40
17,57,58,62,98
26,71,46,70,39
61,70,0,90,35
51,19,24,69,21
26,23,95,37,99
50,59,75,53,94
71,46,23,36,36
82,41,19,80,54
81,92,95,73,81
79,76,70,97,26
19,34,71,81,97
3,28,50,11,1
22,43,20,68,55
7,58,51,51,17
61,61,32,12,81
78,92,62,51,87
37,62,4,45,19
27,28,31,53,37
86,36,38,35,17
83,38,66,85,95
74,4,90,14,37
28,42,69,85,96
70,31,22,90,21
16,42,76,3,6
57,63,94,20,82
68,2,25,32,46
6,79,28,88,25
71,44,51,64,87
3,95,87,7,12
39,95,32,7,71
85,81,47,85,79
72,26,97,66,2
68,35,35,66,91
66,86,41,45,39
87,58,42,91,10
2,60,29,70,42
97,10,86,12,8
57,86,34,29,16
16,2,88,91,3
15,13,61,34,92
33,45,3,36,14
49,45,22,8,81
87,87,7,82,51
22,5,62,18,91
33,78,31,96,75
87,33,87,6,49
7,0,62,16,15
41,65,33,85,57
46,24,26,75,51
78,76,91,33,31
80,29,76,53,99
14,41,1,42,79
0,75,41,48,38
78,86,88,83,94
38,8,29,95,43
80,44,61,3,23
44,83,64,53,67
31,19,42,4,45
87,96,62,25,92
25,49,95,47,60
56,1,94,19,66
51,94,92,22,22
27,51,99,87,7
47,72,97,56,96
11,8,35,53,69
11,94,97,48,92
26,14,9,14,45
34,79,11,88,80
3,69,32,36,39
4,54,97,22,30
89,35,66,21,80
25,12,21,3,32
6,67,6,76,93
5,30,22,46,17
47,68,7,21,80
61,97,42,94,45
36,32,81,7,85
10,9,37,92,19
84,60,86,57,68
86,56,47,36,51
81,44,56,79,30
91,37,65,85,35
32,83,24,21,19
0,26,46,10,97
33,85,84,58,24
96,27,89,4,91
29,94,74,86,94
43,90,25,21,24
93,36,53,17,45
45,49,43,71,82
83,96,27,77,65
61,90,55,30,72
24,34,77,16,52
83,6,74,87,59
32,2,51,82,83
63,74,72,27,54
8,87,39,94,63
24,41,38,95,46
9,50,26,89,98
72,32,41,61,64
18,35,4,22,34
6,88,0,5,5
46,15,95,27,4
98,99,56,40,62
14,61,73,15,42
18,90,44,30,86
86,57,6,15,90
38,92,5,38,23
75,31,27,32,80
30,44,15,4,6
26,92,71,6,45
85,64,49,79,65
56,32,41,94,37
57,8,57,94,64
64,78,75,68,27
78,84,68,92,55
44,66,90,93,43
65,14,44,83,78
89,63,65,82,83
66,21,42,32,60
27,33,9,7,8
2,60,14,82,55
9,59,70,14,54
54,64,66,69,54
27,26,52,19,53
42,26,28,3,82
69,12,30,48,40
94,91,23,80,51
85,59,58,85,85
80,74,0,93,0
84,76,82,7,67
96,7,88,97,28
7,76,74,3,46
10,85,6,31,26
26,55,47,78,28
66,77,3,23,73
54,49,38,31,75
54,5,55,26,71
87,16,31,92,33
16,70,16,1,94
83,52,81,7,48
11,20,93,46,11
36,90,87,0,97
70,41,98,22,65
82,98,26,14,84
24,70,30,76,90
81,62,78,45,11
3,13,51,47,18
86,16,80,55,24
29,62,15,80,40
57,16,46,48,22
30,42,81,81,41
80,26,94,30,56
93,24,25,9,26
78,65,97,1,57
51,74,6,48,21
6,86,46,73,44
58,96,51,71,93
43,74,50,21,85
58,1,37,4,20
75,20,6,81,77
51,70,52,38,15
42,96,77,46,53
75,53,74,45,47
1,53,94,2,32
5,14,84,35,76
78,38,34,44,70
24,35,11,24,2
40,77,5,84,43
4,85,56,46,66
99,32,30,39,93
92,43,83,11,94
39,28,79,12,52
